,code_commune_INSEE,code_postal,latitude,longitude,nom_commune_complet,nom_departement,nom_region
84,1079,1260,45.9316447397,5.69321890072,Champagne-en-Valromey,Ain,Auvergne-Rhône-Alpes
85,1080,1110,46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes
86,1080,1110,46.0198844188,5.60008759722,Champdor-Corcelles,Ain,Auvergne-Rhône-Alpes
87,1081,1410,46.220365768,5.82233573131,Champfromier,Ain,Auvergne-Rhône-Alpes
88,1082,1420,46.005695299,5.76893393185,Chanay,Ain,Auvergne-Rhône-Alpes
89,1083,1990,46.0934984191,4.85473364691,Chaneins,Ain,Auvergne-Rhône-Alpes
90,1084,1400,46.1861812234,5.02807719246,Chanoz-Châtenay,Ain,Auvergne-Rhône-Alpes
91,1085,1240,46.0744536905,5.02162055898,La Chapelle-du-Châtelard,Ain,Auvergne-Rhône-Alpes
92,1087,1130,46.1856344066,5.6811896084,Charix,Ain,Auvergne-Rhône-Alpes
93,1088,1800,45.8736786869,5.2211032563,Charnoz-sur-Ain,Ain,Auvergne-Rhône-Alpes
94,1089,1500,45.9730390239,5.30754273532,Château-Gaillard,Ain,Auvergne-Rhône-Alpes
95,1090,1320,46.0259402155,5.2048590395,Châtenay,Ain,Auvergne-Rhône-Alpes
96,1091,1200,46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
97,1091,1200,46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
98,1091,1200,46.1293337743,5.770176021,Châtillon-en-Michaille,Ain,Auvergne-Rhône-Alpes
99,1092,1320,45.9748017433,5.2416027725,Châtillon-la-Palud,Ain,Auvergne-Rhône-Alpes
100,1093,1400,46.1232390685,4.95810003714,Châtillon-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes
101,1094,1190,46.4379785193,5.00693749662,Chavannes-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes
102,1095,1250,46.2750157946,5.41649423093,Nivigne et Suran,Ain,Auvergne-Rhône-Alpes
103,1096,1660,46.1991513767,5.0564069258,Chaveyriat,Ain,Auvergne-Rhône-Alpes
104,1097,1510,45.8824049535,5.72499814516,Chavornay,Ain,Auvergne-Rhône-Alpes
